,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Alice Springs,0,AU,1562708933,45,-23.7,133.88,42.8,5.82
1,Vaini,96,IN,1562708998,86,15.34,74.49,77.87,10.04
2,Rikitea,37,PF,1562708999,83,-23.12,-134.97,73.55,15.21
3,Chuy,100,UY,1562709000,86,-33.69,-53.46,52.13,6.62
4,Lavrentiya,0,RU,1562709002,32,65.58,-170.99,69.95,6.13
5,Upernavik,5,GL,1562709003,80,72.79,-56.15,42.23,23.85
6,Ostrovnoy,100,RU,1562709004,96,68.05,39.51,40.25,16.58
7,Bredasdorp,0,ZA,1562709005,93,-34.53,20.04,48.2,2.24
8,Tretten,12,NO,1562709007,68,61.31,10.3,52.0,1.01
9,Awbari,0,LY,1562708999,8,26.59,12.77,87.41,6.26
10,El Retorno,40,CO,1562709009,64,2.33,-72.63,82.19,2.53
11,Tiksi,10,RU,1562709010,75,71.64,128.87,58.97,12.82
12,Fairbanks,75,US,1562708726,28,64.84,-147.72,84.99,5.82
13,Faanui,6,PF,1562709012,76,-16.48,-151.75,77.69,14.9
14,Roald,20,NO,1562709014,93,62.58,6.12,60.8,13.87
15,Boende,100,CD,1562709015,92,-0.28,20.88,72.65,2.24
16,Bluff,86,AU,1562709016,91,-23.58,149.07,59.87,1.88
17,Clyde River,1,CA,1562708729,58,70.47,-68.59,59.0,9.17
18,Jamestown,0,AU,1562709019,64,-33.21,138.6,45.65,11.39
19,New Norfolk,75,AU,1562709021,75,-42.78,147.06,48.99,6.93
20,Punta Arenas,90,CL,1562709022,100,-53.16,-70.91,37.4,3.36
21,Severo-Kurilsk,94,RU,1562709023,95,50.68,156.12,43.49,11.32
22,Duzce,1,TR,1562709028,67,40.84,31.16,66.53,3.11
23,Kapaa,40,US,1562709029,79,22.08,-159.32,84.2,13.87
24,Saldanha,4,PT,1562709031,46,41.42,-6.55,72.65,3.06
25,Saint-Georges,80,CA,1562709032,42,46.12,-70.67,79.0,3.0
26,Albany,75,US,1562709028,33,42.65,-73.75,88.0,3.36
